signal_number,signal_timestamp,entry_timestamp,exit_timestamp,upside_probability,forecast_return,position,exit_reason,exit_price,underlying_return,net_return,equity
638,2024-10-13 23:00:00,2024-10-14,2024-10-14 23:00:00,0.6,0.0070360464228084,0,flat,,0.0,0.0,0.0337158349307048
639,2024-10-14 23:00:00,2024-10-15,2024-10-15 23:00:00,0.0,-0.0184581160911466,0,flat,,0.0,0.0,0.0337158349307048
640,2024-10-15 23:00:00,2024-10-16,2024-10-16 23:00:00,0.0,-0.0227195140959458,0,flat,,0.0,0.0,0.0337158349307048
641,2024-10-16 23:00:00,2024-10-17,2024-10-17 23:00:00,0.2,-0.0182721674717422,0,flat,,0.0,0.0,0.0337158349307048
642,2024-10-17 23:00:00,2024-10-18,2024-10-18 23:00:00,0.2,-0.0136026970838927,0,flat,,0.0,0.0,0.0337158349307048
643,2024-10-18 23:00:00,2024-10-19,2024-10-19 23:00:00,0.2,-0.0094557016889887,0,flat,,0.0,0.0,0.0337158349307048
644,2024-10-19 23:00:00,2024-10-20,2024-10-20 23:00:00,0.2,-0.005976198887899,0,flat,,0.0,0.0,0.0337158349307048
645,2024-10-20 23:00:00,2024-10-21,2024-10-21 23:00:00,0.0,-0.0097669917893483,0,flat,,0.0,0.0,0.0337158349307048
646,2024-10-21 23:00:00,2024-10-22,2024-10-22 23:00:00,0.8,0.0081034126702568,0,flat,,0.0,0.0,0.0337158349307048
647,2024-10-22 23:00:00,2024-10-23,2024-10-23 23:00:00,0.4,-0.0035708775427851,0,flat,,0.0,0.0,0.0337158349307048
648,2024-10-23 23:00:00,2024-10-24,2024-10-24 23:00:00,0.6,0.0005038189901451,0,flat,,0.0,0.0,0.0337158349307048
649,2024-10-24 23:00:00,2024-10-25,2024-10-25 23:00:00,0.8,0.002872598234219,0,flat,,0.0,0.0,0.0337158349307048
650,2024-10-25 23:00:00,2024-10-26,2024-10-26 23:00:00,0.2,-0.0066034415933624,0,flat,,0.0,0.0,0.0337158349307048
651,2024-10-26 23:00:00,2024-10-27,2024-10-27 23:00:00,0.4,-0.0028066937222499,0,flat,,0.0,0.0,0.0337158349307048
652,2024-10-27 23:00:00,2024-10-28,2024-10-28 23:00:00,0.2,-0.0027917789950671,0,flat,,0.0,0.0,0.0337158349307048
653,2024-10-28 23:00:00,2024-10-29,2024-10-29 23:00:00,0.0,-0.013515803724621,0,flat,,0.0,0.0,0.0337158349307048
654,2024-10-29 23:00:00,2024-10-30,2024-10-30 23:00:00,0.0,-0.0187296362361578,0,flat,,0.0,0.0,0.0337158349307048
655,2024-10-30 23:00:00,2024-10-31,2024-10-31 23:00:00,0.0,-0.0156455168696181,0,flat,,0.0,0.0,0.0337158349307048
656,2024-10-31 23:00:00,2024-11-01,2024-11-01 23:00:00,0.8,0.0034435618562638,0,flat,,0.0,0.0,0.0337158349307048
657,2024-11-01 23:00:00,2024-11-02,2024-11-02 23:00:00,0.6,0.0038862678159017,0,flat,,0.0,0.0,0.0337158349307048
658,2024-11-02 23:00:00,2024-11-03,2024-11-03 23:00:00,0.6,0.0008950408049406,0,flat,,0.0,0.0,0.0337158349307048
659,2024-11-03 23:00:00,2024-11-04,2024-11-04 23:00:00,0.4,-0.001330121796037,0,flat,,0.0,0.0,0.0337158349307048
660,2024-11-04 23:00:00,2024-11-05,2024-11-05 23:00:00,0.2,-0.0051563607938756,0,flat,,0.0,0.0,0.0337158349307048
661,2024-11-05 23:00:00,2024-11-06,2024-11-06 23:00:00,0.0,-0.0076408579789512,0,flat,,0.0,0.0,0.0337158349307048
662,2024-11-06 23:00:00,2024-11-07,2024-11-07 23:00:00,1.0,0.0066774946116626,1,time,75859.4,0.0036980731649551846,0.022980731649551847,0.03449064948558791
663,2024-11-07 23:00:00,2024-11-08,2024-11-08 23:00:00,0.2,-0.0157698609203341,0,flat,,0.0,0.0,0.03449064948558791
664,2024-11-08 23:00:00,2024-11-09,2024-11-09 23:00:00,0.2,-0.0166642736806733,0,flat,,0.0,0.0,0.03449064948558791
665,2024-11-09 23:00:00,2024-11-10,2024-11-10 23:00:00,0.2,-0.0103473536389258,0,flat,,0.0,0.0,0.03449064948558791
666,2024-11-10 23:00:00,2024-11-11,2024-11-11 23:00:00,0.0,-0.0185282652966049,0,flat,,0.0,0.0,0.03449064948558791
667,2024-11-11 23:00:00,2024-11-12,2024-11-12 23:00:00,0.2,-0.0116980628633962,0,flat,,0.0,0.0,0.03449064948558791
668,2024-11-12 23:00:00,2024-11-13,2024-11-13 23:00:00,0.4,-0.0154151676101486,0,flat,,0.0,0.0,0.03449064948558791
669,2024-11-13 23:00:00,2024-11-14,2024-11-14 23:00:00,0.0,-0.037477754932073,0,flat,,0.0,0.0,0.03449064948558791
670,2024-11-14 23:00:00,2024-11-15,2024-11-15 23:00:00,0.6,0.004868097460939,0,flat,,0.0,0.0,0.03449064948558791
671,2024-11-15 23:00:00,2024-11-16,2024-11-16 23:00:00,0.0,-0.0137216496147115,0,flat,,0.0,0.0,0.03449064948558791
672,2024-11-16 23:00:00,2024-11-17,2024-11-17 23:00:00,0.0,-0.0066040112727582,0,flat,,0.0,0.0,0.03449064948558791
673,2024-11-17 23:00:00,2024-11-18,2024-11-18 23:00:00,0.4,-0.0043362986221341,0,flat,,0.0,0.0,0.03449064948558791
674,2024-11-18 23:00:00,2024-11-19,2024-11-19 23:00:00,0.8,0.0173381886453483,0,flat,,0.0,0.0,0.03449064948558791
675,2024-11-19 23:00:00,2024-11-20,2024-11-20 23:00:00,0.6,0.0064288206158169,0,flat,,0.0,0.0,0.03449064948558791
676,2024-11-20 23:00:00,2024-11-21,2024-11-21 23:00:00,0.6,0.0039575721459782,0,flat,,0.0,0.0,0.03449064948558791
677,2024-11-21 23:00:00,2024-11-22,2024-11-22 23:00:00,0.2,-0.0090918791960295,0,flat,,0.0,0.0,0.03449064948558791
678,2024-11-22 23:00:00,2024-11-23,2024-11-23 23:00:00,0.0,-0.0154941985505663,0,flat,,0.0,0.0,0.03449064948558791
679,2024-11-23 23:00:00,2024-11-24,2024-11-24 23:00:00,0.4,0.0007878093486347,0,flat,,0.0,0.0,0.03449064948558791
