signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,actual_up,mean_pred_up,mean_pred_correct,prob_signal_correct,atr_24_pct,pre_vol_24,pre_vol_72,pre_abs_ret_24,future_vol_24,future_abs_ret_24,atr_24_pct_quintile,pre_vol_24_quintile,pre_vol_72_quintile,pre_abs_ret_24_quintile,future_vol_24_quintile,atr_24_pct_live_percentile,pre_vol_24_live_percentile,pre_vol_72_live_percentile,rule_exit_reason,rule_underlying_return,rule_net_return,rule_equity,leverage,stop_margin_loss,split
430,2024-03-19 23:00:00,2024-03-20,2024-03-20 23:00:00,61974.1,61974.2,67876.4,63902.07421875,0.0311093540487074,1.0,1,0.0952364048265246,0.0938364048265246,True,True,True,True,0.0180453743311049,0.0099263785606594,0.0081945780799665,0.0081948197433766,0.0108092719454934,0.0909718483612583,5,5,5,5,5,0.9945205479452056,0.96986301369863,0.947945205479452,time,0.09523640482652462,0.9383640482652462,3.3143386732413855,10.0,0.6,train
455,2024-04-13 23:00:00,2024-04-14,2024-04-14 23:00:00,63939.7,63939.7,65615.9,65920.478125,0.0309788460846704,1.0,1,0.026215324751289,0.024815324751289,True,True,True,True,0.0165885461875277,0.0145574090968942,0.0095865333769639,0.0087424724232616,0.0075827837840136,0.0258775929079766,5,5,5,5,5,0.9835616438356164,0.9945205479452056,0.978082191780822,time,0.02621532475128907,0.2481532475128907,4.136802578363801,10.0,0.6,train
457,2024-04-15 23:00:00,2024-04-16,2024-04-16 23:00:00,63392.7,63392.8,63765.0,66086.32578125,0.0424911035694962,1.0,1,0.0058713292361276,0.0044713292361276,True,True,True,True,0.0121903494671573,0.0074516556449628,0.0103492279215468,0.0050612472165539,0.0072255683955982,0.0058557376208628,5,5,5,5,5,0.9315068493150684,0.9178082191780822,0.989041095890411,time,0.005871329236127654,0.04471329236127654,4.321772641491064,10.0,0.6,train
459,2024-04-17 23:00:00,2024-04-18,2024-04-18 23:00:00,61254.5,61254.5,63445.0,62368.740625,0.0181903472397946,1.0,1,0.0357606379939432,0.0343606379939432,True,True,True,True,0.0127658648208158,0.0079086919536411,0.0074766985790491,0.005656984544796,0.0062296686305,0.0351360727350296,5,5,5,5,5,0.9424657534246575,0.9397260273972604,0.9178082191780822,time,0.035760637993943245,0.34360637993943244,5.806761293755087,10.0,0.6,train
472,2024-04-30 23:00:00,2024-05-01,2024-05-01 23:00:00,60651.2,60651.2,58307.6,61966.93671875,0.0216934985416612,1.0,1,-0.038640620465877,-0.040040620465877,False,True,False,False,0.0114663848365737,0.0081149223949548,0.0058901487891067,0.0061516931877411,0.0128126269736271,0.0394069757836001,5,5,4,5,5,0.9178082191780822,0.9506849315068492,0.8410958904109589,time,-0.03864062046587702,-0.4004062046587702,3.4816980427631625,10.0,0.6,train
473,2024-05-01 23:00:00,2024-05-02,2024-05-02 23:00:00,58307.6,58307.7,59036.7,61032.9328125,0.0467406103578264,1.0,1,0.012502636873003,0.011102636873003,True,True,True,True,0.0150748644544907,0.0128126269736271,0.0092405811857045,0.0085761049662286,0.0058414014644595,0.0124268393550034,5,5,5,5,4,0.9671232876712328,0.9917808219178084,0.9643835616438357,time,0.012502636873003015,0.11102636873003015,3.8682583334656098,10.0,0.6,train
482,2024-05-10 23:00:00,2024-05-11,2024-05-11 23:00:00,60778.1,60778.0,60809.2,61381.490625,0.0099277638656029,1.0,1,0.0005133436440816,-0.0008866563559183,True,True,True,True,0.0084373867122093,0.0072656308658977,0.0055041892115171,0.0037040559510139,0.0021974035545618,0.0005115665974692,4,5,4,4,1,0.7780821917808219,0.9068493150684932,0.7863013698630137,time,0.0005133436440816208,-0.008866563559183792,3.8339601750885945,10.0,0.6,train
566,2024-08-02 23:00:00,2024-08-03,2024-08-03 23:00:00,61483.7,61483.7,60684.6,63538.20078125,0.0334153732005393,1.0,1,-0.0129969406525631,-0.0143969406525631,False,True,False,False,0.0119724821375421,0.0078324840475241,0.0068727453652895,0.0053031557318451,0.004914555587312,0.0130821399106662,5,5,5,5,4,0.915068493150685,0.9287671232876712,0.873972602739726,time,-0.012996940652563183,-0.14396940652563184,3.281987204038182,10.0,0.6,train
569,2024-08-05 23:00:00,2024-08-06,2024-08-06 23:00:00,54003.1,54003.5,55991.2,56304.43828125,0.0426149291661035,1.0,1,0.0368068736285611,0.0354068736285611,True,True,True,True,0.0319048042303744,0.0207386661242939,0.0129243412319833,0.0160901080712142,0.0100721659445234,0.0361530832058343,5,5,5,5,5,1.0,1.0,1.0,time,0.036806873628561165,0.35406873628561164,4.4440362658775285,10.0,0.6,train
601,2024-09-06 23:00:00,2024-09-07,2024-09-07 23:00:00,53927.7,53927.7,54134.9,54621.86015625,0.012872051955674,1.0,1,0.0038421812908766,0.0024421812908766,True,True,True,True,0.0123928271865232,0.0090506920095029,0.0068084765669519,0.0065598126118043,0.0029995055458833,0.0038348189645765,5,5,5,5,2,0.915068493150685,0.9452054794520548,0.8547945205479452,time,0.003842181290876656,0.024421812908766563,4.552567688122563,10.0,0.6,train
662,2024-11-06 23:00:00,2024-11-07,2024-11-07 23:00:00,75579.9,75579.9,75859.4,76084.584375,0.0066774946116626,1.0,1,0.0036980731649551,0.0022980731649551,True,True,True,True,0.0135990190513615,0.0091752016656542,0.0071642121214273,0.0064921272523405,0.0046391872651456,0.0036912521037386,5,5,5,5,4,0.9506849315068492,0.947945205479452,0.873972602739726,time,0.0036980731649551846,0.022980731649551847,4.657189024479728,10.0,0.6,train
705,2024-12-19 23:00:00,2024-12-20,2024-12-20 23:00:00,97434.4,97434.3,97764.4,98383.371875,0.0097395978730305,1.0,1,0.0033879239651743,0.0019879239651743,True,True,True,True,0.012706155799868,0.0079762253829689,0.0067330007197754,0.0061401951294868,0.0095861573133374,0.0033811715480705,5,5,5,5,5,0.9123287671232876,0.9123287671232876,0.821917808219178,time,0.0033879239651743998,0.019879239651744,4.749770401200832,10.0,0.6,train
750,2025-02-02 23:00:00,2025-02-03,2025-02-03 23:00:00,97664.5,97664.5,101293.7,101215.965625,0.0363639359746888,1.0,1,0.0371598687342893,0.0357598687342893,True,True,True,True,0.0102728388172433,0.0067461193852282,0.0050160229696927,0.005626747077297,0.012228507487506,0.0364860820077592,5,5,4,5,5,0.8246575342465754,0.8136986301369863,0.5123287671232877,time,0.037159868734289336,0.35759868734289335,6.448282061850378,10.0,0.6,validation
752,2025-02-04 23:00:00,2025-02-05,2025-02-05 23:00:00,97709.9,97710.0,96553.2,100148.378125,0.0249563056046521,1.0,1,-0.0118391157506908,-0.0132391157506908,False,True,False,False,0.0112157689923607,0.0070964711006303,0.009021632494261,0.0052829100489113,0.0038107041676217,0.011908732744746,5,5,5,5,3,0.863013698630137,0.8301369863013699,0.9397260273972604,time,-0.011839115750690854,-0.13239115750690855,5.594586535750971,10.0,0.6,validation
776,2025-02-28 23:00:00,2025-03-01,2025-03-01 23:00:00,84299.6,84299.6,86007.7,85391.096875,0.012947829823629,1.0,1,0.0202622550996682,0.0188622550996682,True,True,True,True,0.0162962418168848,0.010354405057081,0.007972773360979,0.0070555976367278,0.0047765994774078,0.0200597070911493,5,5,5,5,4,0.9753424657534246,0.958904109589041,0.8931506849315068,time,0.02026225509966828,0.1886225509966828,6.649851719896014,10.0,0.6,validation
786,2025-03-10 23:00:00,2025-03-11,2025-03-11 23:00:00,78567.8,78567.8,82896.0,80169.5125,0.0203863732979668,1.0,1,0.0550887259157057,0.0536887259157057,True,True,True,True,0.0163460200404406,0.0102726863256521,0.007048145814774,0.0079355710591946,0.0086899077492329,0.0536248637858238,5,5,5,5,5,0.9726027397260274,0.947945205479452,0.8410958904109589,time,0.055088725915705794,0.5368872591570579,10.220072383591832,10.0,0.6,validation
809,2025-04-02 23:00:00,2025-04-03,2025-04-03 23:00:00,82485.1,82485.1,83181.5,83343.90625,0.0104116531349297,1.0,1,0.0084427369306698,0.0070427369306698,True,True,True,True,0.0104947236935317,0.0074596293353066,0.0058018182320045,0.0054424019011168,0.0052646978123728,0.0084072963644321,5,5,4,5,4,0.8438356164383561,0.873972602739726,0.7041095890410959,time,0.00844273693066988,0.07042736930669881,10.939845195692248,10.0,0.6,validation
814,2025-04-07 23:00:00,2025-04-08,2025-04-08 23:00:00,79140.0,79140.1,76297.9,80670.5828125,0.0193401922226434,1.0,1,-0.0359135255072966,-0.0373135255072966,False,True,False,False,0.0177883602897818,0.0111306266732242,0.0075443232725689,0.0090217863407086,0.0074302099696235,0.0365730209814097,5,5,5,5,5,0.9917808219178084,0.9671232876712328,0.8904109589041096,time,-0.03591352550729665,-0.3731352550729665,6.857803268138854,10.0,0.6,validation
