rule,side,n,direction_accuracy,avg_unlevered_direction_return,avg_original_net_return,vol_col,vol_rule,p_rule,leakage_safe
p_le_0p4+pre_vol_24_quintile:low_vol_q1_q2,short,271,0.4944649446494465,-0.0013841545088422137,-0.0030114025668828695,pre_vol_24_quintile,low_vol_q1_q2,p_le_0p4,False
p_le_0p2+pre_vol_72_quintile:low_vol_q1_q2,short,175,0.49142857142857144,-0.002091870113845373,-0.0037061120324745796,pre_vol_72_quintile,low_vol_q1_q2,p_le_0p2,False
p_ge_0p6+pre_vol_72_quintile:low_vol_q1_q2,long,204,0.49019607843137253,-0.0010220153612345352,-0.002209379113612235,pre_vol_72_quintile,low_vol_q1_q2,p_ge_0p6,False
p_le_0p2+atr_24_pct_quintile:mid_vol_q2_q4,short,251,0.4860557768924303,-0.0007203881507342625,-0.0024216735128739383,atr_24_pct_quintile,mid_vol_q2_q4,p_le_0p2,False
p_eq_0+atr_24_pct_quintile:high_vol_q4_q5,short,62,0.4838709677419355,-0.002634622279162136,-0.00449802886709669,atr_24_pct_quintile,high_vol_q4_q5,p_eq_0,False
p_eq_0+pre_vol_72_quintile:high_vol_q4_q5,short,60,0.48333333333333334,-0.0019392469674528031,-0.003776484531706488,pre_vol_72_quintile,high_vol_q4_q5,p_eq_0,False
p_le_0p2+atr_24_pct_quintile:high_vol_q4_q5,short,141,0.48226950354609927,-0.0006900258270987368,-0.0025141249900075147,atr_24_pct_quintile,high_vol_q4_q5,p_le_0p2,False
p_le_0p4+atr_24_pct_quintile:low_vol_q1,short,140,0.4785714285714286,-0.001867303691033499,-0.0034410412498888858,atr_24_pct_quintile,low_vol_q1,p_le_0p4,False
p_le_0p2+pre_vol_72_quintile:mid_vol_q2_q4,short,242,0.47520661157024796,-0.0013265239377652442,-0.0030492225046888717,pre_vol_72_quintile,mid_vol_q2_q4,p_le_0p2,False
p_le_0p2+pre_vol_24_quintile:mid_vol_q2_q4,short,252,0.46825396825396826,-0.0009858466256953897,-0.002689531615049184,pre_vol_24_quintile,mid_vol_q2_q4,p_le_0p2,False
p_ge_0p8+pre_vol_24_quintile:low_vol_q1_q2,long,112,0.4642857142857143,-0.002500646490672973,-0.0036818984702549607,pre_vol_24_quintile,low_vol_q1_q2,p_ge_0p8,False
p_eq_0+pre_vol_24_quintile:low_vol_q1_q2,short,67,0.4626865671641791,-0.0016491465740623016,-0.003314936456578668,pre_vol_24_quintile,low_vol_q1_q2,p_eq_0,False
p_le_0p2+atr_24_pct_quintile:low_vol_q1,short,80,0.4625,-0.0018003606473476958,-0.003399522948316728,atr_24_pct_quintile,low_vol_q1,p_le_0p2,False
p_eq_0+atr_24_pct_quintile:low_vol_q1_q2,short,68,0.45588235294117646,-0.0030689975201524285,-0.004742378141759953,atr_24_pct_quintile,low_vol_q1_q2,p_eq_0,False
p_ge_0p8+pre_vol_72_quintile:low_vol_q1,long,55,0.45454545454545453,-0.007327574696872639,-0.008473956565435144,pre_vol_72_quintile,low_vol_q1,p_ge_0p8,False
p_ge_0p8+pre_vol_72_quintile:low_vol_q1_q2,long,119,0.453781512605042,-0.0031005149188167084,-0.0043005920294389025,pre_vol_72_quintile,low_vol_q1_q2,p_ge_0p8,False
p_ge_0p8+atr_24_pct_quintile:low_vol_q1_q2,long,108,0.4444444444444444,-0.0024860900498112643,-0.0036753798295477017,atr_24_pct_quintile,low_vol_q1_q2,p_ge_0p8,False
p_eq_0+pre_vol_24_quintile:high_vol_q5,short,28,0.42857142857142855,-0.010761615758759271,-0.012842221001363898,pre_vol_24_quintile,high_vol_q5,p_eq_0,False
p_eq_0+atr_24_pct_quintile:low_vol_q1,short,36,0.4166666666666667,-0.0010007493913335942,-0.002600143181258662,atr_24_pct_quintile,low_vol_q1,p_eq_0,False
p_eq_0+pre_vol_72_quintile:low_vol_q1,short,34,0.4117647058823529,-0.0033141184928653896,-0.0048968744631655275,pre_vol_72_quintile,low_vol_q1,p_eq_0,False
