p_rule,filters,side,leverage,train_trades,train_accuracy,train_avg_net,train_total_return,train_max_drawdown,val_trades,val_accuracy,val_avg_net,val_total_return,val_max_drawdown,test_trades,test_accuracy,test_avg_net,test_total_return,test_max_drawdown
long_p100,high_vol72,1,1.0,16,0.6875,0.004236481183982753,0.06494377318654476,-0.09324347225199969,8,0.625,0.01252586462310569,0.09989972289335558,-0.03731352550729661,14,0.5714285714285714,0.015395601418503772,0.22767821018026857,-0.028188473859312446
long_p100,high_vol72,1,2.0,16,0.6875,0.008472962367965506,0.12321018828100061,-0.18105542182083612,8,0.625,0.02505172924621138,0.19851166289279187,-0.07462705101459333,14,0.5714285714285714,0.030791202837007543,0.4792765901749789,-0.056169128922240685
long_p100,high_vol72,1,3.0,16,0.6875,0.012709443551948252,0.17330334779586232,-0.26358954105792287,8,0.625,0.037577593869317055,0.29479649873359137,-0.11194057652188993,14,0.5714285714285714,0.04618680425551132,0.7539188035828297,-0.0839419651887835
long_p100,high_vol72,1,5.0,16,0.6875,0.02118240591991375,0.24312972996496462,-0.4134390579425037,8,0.625,0.06262932311552843,0.47605091283733936,-0.18656762753648326,14,0.5714285714285714,0.07697800709251885,1.3665003541539735,-0.13886418133271516
long_p100,high_vol72,1,10.0,16,0.6875,0.0423648118398275,0.18189390793914773,-0.7064592839473121,8,0.625,0.12525864623105687,0.8097456520857009,-0.3731352550729665,14,0.5714285714285714,0.1539560141850377,3.149496594773785,-0.27253289275580894
long_p100,low_vol72,1,1.0,13,0.6153846153846154,0.00578083732897449,0.07631332489121556,-0.023178670644189214,6,0.8333333333333334,9.52077339741022e-05,0.00034942062015064224,-0.01782010243906007,2,1.0,0.018184492328667992,0.03669090636225425,0.0
long_p100,low_vol72,1,2.0,13,0.6153846153846154,0.01156167465794898,0.15479450402894157,-0.0461031542555953,6,0.8333333333333334,0.0001904154679482044,0.00024828655046182924,-0.03564020487812025,2,1.0,0.036368984657335984,0.0740256561343462,0.0
long_p100,low_vol72,1,3.0,13,0.6153846153846154,0.017342511986923465,0.2351883675537496,-0.06877345083421738,6,0.8333333333333334,0.00028562320192230634,-0.00031382186769646214,-0.05346030731718032,2,1.0,0.054553476986003976,0.1120042493162745,0.0
long_p100,low_vol72,1,5.0,13,0.6153846153846154,0.028904186644872435,0.40056659739631884,-0.11335148289311126,6,0.8333333333333334,0.00047603866987051016,-0.0028630736798627154,-0.08910051219530057,2,1.0,0.09092246164333995,0.18989296590964266,0.0
long_p100,low_vol72,1,10.0,13,0.6153846153846154,0.05780837328974487,0.8249904252820377,-0.22034828996663403,6,0.8333333333333334,0.0009520773397410203,-0.018049317443814994,-0.17820102439060115,2,1.0,0.1818449232866799,0.3958820170652111,0.0
