asset,p_rule,filter,side,n,accuracy,avg_net_1x,total_1x,avg_net_10x,total_10x
sol_5m,long_p80,low_atr,1,68,0.5588235294117647,-0.0008079987103653794,-0.05496923126027997,-0.008079987103653794,-0.5097695739975967
sol_5m,short_p40,low_atr,-1,105,0.45714285714285713,-0.0008525868183867794,-0.08862347353728284,-0.008525868183867805,-0.7069903459978553
sol_5m,short_p0,rsi_mid,-1,35,0.5428571428571428,-0.0008598149934509251,-0.031069996095122177,-0.008598149934509252,-0.36468982180233145
sol_5m,long_p80,high_vol24,1,36,0.3888888888888889,-0.0008998540546150248,-0.033329661283588496,-0.00899854054615025,-0.3764074565103368
sol_5m,short_p20,low_atr,-1,52,0.46153846153846156,-0.0009031567842425331,-0.04767711904418159,-0.009031567842425342,-0.4843477119182875
sol_5m,short_p0,trend288_up,-1,23,0.6086956521739131,-0.0009629028803539479,-0.024062176512003486,-0.009629028803539495,-0.3839894728960459
sol_5m,short_p20,mom24_up,-1,139,0.5251798561151079,-0.001000282319456573,-0.13795127592762457,-0.010002823194565743,-0.9092853581212637
sol_5m,short_p20,trend72_up,-1,133,0.5263157894736842,-0.001024833566531625,-0.13483477667066246,-0.010248335665316258,-0.8993548852449172
sol_5m,long_p60,high_vol24,1,77,0.45454545454545453,-0.00103184087413911,-0.08085058748769103,-0.01031840874139111,-0.7242078797943811
sol_5m,short_p20,low_vol72,-1,50,0.5,-0.0010574606457215512,-0.05361348755799744,-0.010574606457215524,-0.531027522260703
sol_5m,short_p20,high_volume,-1,27,0.5925925925925926,-0.0011397497154313518,-0.032345720691391855,-0.011397497154313534,-0.42113720449916037
sol_5m,long_p80,high_volume,1,22,0.4090909090909091,-0.0011428824893877066,-0.026023203361705383,-0.01142882489387707,-0.3120920992835089
sol_5m,short_p20,mom72_up,-1,115,0.5565217391304348,-0.001171212600659663,-0.13214280758390795,-0.011712126006596645,-0.8828106449210416
sol_5m,long_p80,rsi_cold,1,78,0.46153846153846156,-0.0012019126970923655,-0.0925740809535951,-0.012019126970923666,-0.7239660296098525
sol_5m,long_p100,trend288_down,1,28,0.35714285714285715,-0.0012306044176107547,-0.03583415799793688,-0.012306044176107558,-0.4269971527827632
sol_5m,short_p20,rsi_hot,-1,74,0.5135135135135135,-0.0012359462894856073,-0.09165253272965268,-0.012359462894856083,-0.76186941363663
sol_5m,long_p60,high_volume,1,52,0.4423076923076923,-0.0012902850832898472,-0.06666005874359238,-0.012902850832898482,-0.5769201756306619
sol_5m,short_p0,mom72_up,-1,34,0.5882352941176471,-0.001398486124409943,-0.04886720684372314,-0.013984861244099436,-0.5403139726439625
sol_5m,short_p40,mom24_up,-1,252,0.5079365079365079,-0.0013997254861181107,-0.3074935518501032,-0.013997254861181117,-0.993909958300321
sol_5m,long_p80,low_vol72,1,68,0.47058823529411764,-0.0014027893698059432,-0.09362865822769384,-0.014027893698059443,-0.7132760869151473
sol_5m,long_p80,mom24_up,1,76,0.4342105263157895,-0.0014312301200641688,-0.10678460249822919,-0.014312301200641702,-0.7786381224799361
sol_5m,short_p40,low_volume,-1,158,0.46835443037974683,-0.0014386780719760357,-0.21037381789532494,-0.014386780719760364,-0.9584267745312887
sol_5m,short_p40,trend72_up,-1,256,0.5,-0.0014585978869637573,-0.32213618100646857,-0.014585978869637587,-0.9955443334905444
sol_5m,short_p40,all,-1,484,0.49793388429752067,-0.001482140292195945,-0.529781401417319,-0.014821402921959458,-0.9999886767403401
sol_5m,long_p80,low_vol24,1,58,0.46551724137931033,-0.001496497793895254,-0.08472240439973167,-0.014964977938952543,-0.6483475703552541
sol_5m,short_p40,trend72_down,-1,228,0.4956140350877193,-0.0015085738700005061,-0.3063229141203536,-0.015085738700005069,-0.9974586833112561
sol_5m,short_p40,mom24_down,-1,227,0.4889867841409692,-0.0015114091005663714,-0.3060934197624525,-0.015114091005663723,-0.9976511100077741
sol_5m,long_p80,trend288_down,1,93,0.45161290322580644,-0.001533815987480164,-0.1369460462709653,-0.015338159874801645,-0.851693360807479
sol_5m,long_p60,low_atr,1,106,0.5283018867924528,-0.0015646910489473607,-0.15608383483404675,-0.01564691048947361,-0.8741971975895457
sol_5m,long_p80,mom72_up,1,86,0.43023255813953487,-0.0016730803529026808,-0.13894182315652903,-0.01673080352902681,-0.8681437312657635
sol_5m,long_p60,low_vol24,1,100,0.47,-0.0016790197749294356,-0.1576509397256186,-0.01679019774929436,-0.8731923664890971
sol_5m,short_p20,trend288_up,-1,81,0.5061728395061729,-0.0016900276116687935,-0.13187837315022166,-0.016900276116687946,-0.8501637954015034
sol_5m,long_p80,trend72_down,1,130,0.46923076923076923,-0.001694853957837314,-0.20215278237302092,-0.016948539578373154,-0.9382557852370482
sol_5m,short_p40,low_vol24,-1,107,0.40186915887850466,-0.0016954564054842318,-0.17153568510140504,-0.01695456405484233,-0.9361244240707114
sol_5m,short_p40,rsi_mid,-1,222,0.49099099099099097,-0.0017159771990312603,-0.3279678898969298,-0.017159771990312614,-0.9964425167386398
sol_5m,long_p60,trend288_up,1,225,0.4666666666666667,-0.0017228672897070195,-0.32905030234834864,-0.017228672897070207,-0.9936232034683964
sol_5m,long_p60,rsi_cold,1,138,0.5072463768115942,-0.0017547365751219676,-0.2209458547386275,-0.017547365751219686,-0.9620788571116693
sol_5m,long_p80,all,1,208,0.4423076923076923,-0.001758987113089401,-0.3136278301004414,-0.017589871130894018,-0.9913096632315128
sol_5m,long_p100,all,1,69,0.34782608695652173,-0.0017933019921135386,-0.12017391293402868,-0.0179330199211354,-0.8113552991803268
sol_5m,long_p60,mom72_up,1,190,0.45263157894736844,-0.0018121318046402915,-0.29909423916537037,-0.01812131804640292,-0.9898539208127715
sol_5m,long_p80,trend72_up,1,78,0.3974358974358974,-0.0018658757051762127,-0.13971979254246092,-0.018658757051762134,-0.8592526149720896
sol_5m,long_p80,mom72_down,1,120,0.45,-0.0018849335257052067,-0.20620125668259348,-0.01884933525705208,-0.936658702280689
sol_5m,long_p60,mom24_up,1,174,0.4367816091954023,-0.0019119528224556652,-0.28938754534403677,-0.01911952822455666,-0.9856271698523585
sol_5m,long_p60,high_atr,1,74,0.44594594594594594,-0.0019196688131377447,-0.13699978187003203,-0.019196688131377457,-0.8614309166748373
sol_5m,long_p80,trend288_up,1,115,0.43478260869565216,-0.0019410820233646973,-0.2047169624402737,-0.01941082023364698,-0.9414029148269889
sol_5m,long_p80,mom24_down,1,129,0.4418604651162791,-0.00199366536359113,-0.2316020596775904,-0.019936653635911305,-0.9605917208664934
sol_5m,long_p80,high_atr,1,38,0.3684210526315789,-0.0019937397449722644,-0.07549269105856082,-0.019937397449722654,-0.6473570126174105
sol_5m,long_p60,rsi_hot,1,90,0.4222222222222222,-0.002010484987480053,-0.16938607120627425,-0.020104849874800542,-0.8982279207557523
sol_5m,short_p40,rsi_hot,-1,148,0.47297297297297297,-0.002022292838500661,-0.26508065022564,-0.020222928385006618,-0.9805738799795707
sol_5m,long_p100,low_atr,1,22,0.5454545454545454,-0.0020581339348163604,-0.044825045848010614,-0.020581339348163613,-0.4018658189313917
sol_5m,long_p100,trend288_up,1,41,0.34146341463414637,-0.002177583262505684,-0.0874743236712916,-0.021775832625056845,-0.6707787723292862
sol_5m,long_p60,trend72_up,1,180,0.42777777777777776,-0.0021802647966225252,-0.3316095701710903,-0.021802647966225254,-0.993290680889592
sol_5m,long_p60,all,1,412,0.44902912621359226,-0.0022626306842269284,-0.6150595832582093,-0.02262630684226929,-0.9999921016561382
sol_5m,short_p40,mom72_up,-1,232,0.4956896551724138,-0.002309470769714197,-0.4237507626321021,-0.023094707697141986,-0.9993373328255856
sol_5m,long_p60,trend72_down,1,232,0.46551724137931033,-0.002326535252195862,-0.42407850327790353,-0.023265352521958636,-0.9988227801164576
sol_5m,long_p100,trend72_down,1,52,0.3269230769230769,-0.0023399464013093775,-0.11689833089658086,-0.023399464013093788,-0.7750709471282969
sol_5m,short_p40,high_vol72,-1,116,0.47413793103448276,-0.002445592267123245,-0.25499128623772127,-0.024455922671232457,-0.9828542653118333
sol_5m,long_p100,mom72_down,1,49,0.30612244897959184,-0.002483596740155076,-0.11685692463042086,-0.024835967401550772,-0.7735809418008174
sol_5m,short_p40,low_vol72,-1,110,0.44545454545454544,-0.0024884999006703377,-0.244820036834957,-0.024884999006703375,-0.9757494939081044
sol_5m,long_p100,mom24_down,1,48,0.2916666666666667,-0.002516152170996247,-0.11619278776469899,-0.02516152170996248,-0.7760260404485082
sol_5m,long_p80,low_volume,1,72,0.4166666666666667,-0.0025306570667861313,-0.16887654457090673,-0.02530657066786132,-0.8806705517060043
